frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
67,0.1,low_threshold,noisy,103836,3115080,3115080,0.1678,345.458,0.497,0.052,0.026,346.007
68,0.1,low_threshold,clean,33399,1001970,1001970,0.1678,345.458,0.16,0.017,0.008,345.634
68,0.1,low_threshold,noisy,108852,3265560,3265560,0.1678,345.458,0.521,0.055,0.027,346.033
69,0.1,low_threshold,clean,28454,853620,853620,0.1678,345.458,0.136,0.014,0.007,345.608
69,0.1,low_threshold,noisy,103087,3092610,3092610,0.1678,345.458,0.493,0.052,0.026,346.003
70,0.1,low_threshold,clean,27969,839070,839070,0.1678,345.458,0.134,0.014,0.007,345.606
70,0.1,low_threshold,noisy,102449,3073470,3073470,0.1678,345.458,0.49,0.052,0.026,345.999
71,0.1,low_threshold,clean,31057,931710,931710,0.1678,345.458,0.149,0.016,0.008,345.622
71,0.1,low_threshold,noisy,105575,3167250,3167250,0.1678,345.458,0.505,0.053,0.027,346.016
72,0.1,low_threshold,clean,28167,845010,845010,0.1678,345.458,0.135,0.014,0.007,345.607
72,0.1,low_threshold,noisy,103089,3092670,3092670,0.1678,345.458,0.493,0.052,0.026,346.003
73,0.1,low_threshold,clean,29222,876660,876660,0.1678,345.458,0.14,0.015,0.007,345.612
73,0.1,low_threshold,noisy,104081,3122430,3122430,0.1678,345.458,0.498,0.052,0.026,346.008
74,0.1,low_threshold,clean,26776,803280,803280,0.1678,345.458,0.128,0.013,0.007,345.599
74,0.1,low_threshold,noisy,101305,3039150,3039150,0.1678,345.458,0.485,0.051,0.026,345.993
75,0.1,low_threshold,clean,34901,1047030,1047030,0.1678,345.458,0.167,0.018,0.009,345.642
75,0.1,low_threshold,noisy,109791,3293730,3293730,0.1678,345.458,0.525,0.055,0.028,346.038
76,0.1,low_threshold,clean,28578,857340,857340,0.1678,345.458,0.137,0.014,0.007,345.609
