sensor_name,sensor_type,operating_point,theta,fps_used,coast,seed,power_mw,hota,det_a,ass_a,mota,idf1,id_switches,num_pred,num_det_input
DAVIS346,DVS,theta=0.20,0.2,,False,3,10.0,0.1374,0.3299,0.1332,0.3752,0.2268,2046,23974,31507
DAVIS346,DVS,theta=0.20,0.2,,False,4,10.0,0.1334,0.3265,0.1329,0.3728,0.2122,2097,23789,31480
DAVIS346,DVS,theta=0.20,0.2,,False,5,10.0,0.1331,0.3267,0.1399,0.3721,0.2236,2113,23799,31542
DAVIS346,DVS,theta=0.20,0.2,,True,1,10.0,0.1545,0.5017,0.125,0.5266,0.2519,2320,40587,48300
DAVIS346,DVS,theta=0.20,0.2,,True,2,10.0,0.1535,0.4983,0.1209,0.5211,0.2376,2406,40527,48298
DAVIS346,DVS,theta=0.20,0.2,,True,3,10.0,0.1553,0.5016,0.1193,0.5271,0.2409,2429,40766,48367
DAVIS346,DVS,theta=0.20,0.2,,True,4,10.0,0.155,0.4969,0.122,0.5163,0.2543,2233,40491,48251
DAVIS346,DVS,theta=0.20,0.2,,True,5,10.0,0.1538,0.4983,0.1251,0.5124,0.2508,2374,40766,48353
DAVIS346,DVS,theta=0.40,0.4,,False,1,10.0,0.1371,0.329,0.1348,0.3751,0.2357,2086,23895,31412
DAVIS346,DVS,theta=0.40,0.4,,False,2,10.0,0.1388,0.3308,0.1389,0.3829,0.2372,2045,24022,31549
DAVIS346,DVS,theta=0.40,0.4,,False,3,10.0,0.1374,0.3299,0.1332,0.3752,0.2268,2046,23974,31507
DAVIS346,DVS,theta=0.40,0.4,,False,4,10.0,0.1334,0.3265,0.1329,0.3728,0.2122,2097,23789,31480
DAVIS346,DVS,theta=0.40,0.4,,False,5,10.0,0.1331,0.3267,0.1399,0.3721,0.2236,2113,23799,31542
DAVIS346,DVS,theta=0.40,0.4,,True,1,10.0,0.1545,0.5017,0.125,0.5266,0.2519,2320,40587,48300
DAVIS346,DVS,theta=0.40,0.4,,True,2,10.0,0.1535,0.4983,0.1209,0.5211,0.2376,2406,40527,48298
DAVIS346,DVS,theta=0.40,0.4,,True,3,10.0,0.1553,0.5016,0.1193,0.5271,0.2409,2429,40766,48367
DAVIS346,DVS,theta=0.40,0.4,,True,4,10.0,0.155,0.4969,0.122,0.5163,0.2543,2233,40491,48251
DAVIS346,DVS,theta=0.40,0.4,,True,5,10.0,0.1538,0.4983,0.1251,0.5124,0.2508,2374,40766,48353
Lichtsteiner 2008,DVS,theta=0.05,0.05,,False,1,19.14,0.0693,0.1674,0.1657,0.0213,0.0593,2387,15396,31412
Lichtsteiner 2008,DVS,theta=0.05,0.05,,False,2,19.14,0.0708,0.1709,0.1731,0.0225,0.0654,2305,15783,31549
Lichtsteiner 2008,DVS,theta=0.05,0.05,,False,3,19.14,0.0685,0.1657,0.1604,0.0155,0.0625,2345,15340,31507
Lichtsteiner 2008,DVS,theta=0.05,0.05,,False,4,19.14,0.0691,0.1676,0.1667,0.0225,0.0611,2400,15464,31480
Lichtsteiner 2008,DVS,theta=0.05,0.05,,False,5,19.14,0.07,0.167,0.1592,0.0263,0.0649,2293,15326,31542
Lichtsteiner 2008,DVS,theta=0.05,0.05,,True,1,19.14,0.0826,0.2948,0.1494,-0.0274,0.0782,2834,31341,48300
Lichtsteiner 2008,DVS,theta=0.05,0.05,,True,2,19.14,0.0805,0.2881,0.1518,-0.0387,0.0814,2845,31007,48298
Lichtsteiner 2008,DVS,theta=0.05,0.05,,True,3,19.14,0.08,0.2875,0.1549,-0.0491,0.0746,2919,31069,48367
Lichtsteiner 2008,DVS,theta=0.05,0.05,,True,4,19.14,0.0801,0.2861,0.148,-0.045,0.0802,2829,30859,48251
Lichtsteiner 2008,DVS,theta=0.05,0.05,,True,5,19.14,0.0808,0.2868,0.1479,-0.041,0.0793,2805,31053,48353
Lichtsteiner 2008,DVS,theta=0.10,0.1,,False,1,19.14,0.0693,0.1674,0.1657,0.0213,0.0593,2387,15396,31412
Lichtsteiner 2008,DVS,theta=0.10,0.1,,False,2,19.14,0.0708,0.1709,0.1731,0.0225,0.0654,2305,15783,31549
Lichtsteiner 2008,DVS,theta=0.10,0.1,,False,3,19.14,0.0685,0.1657,0.1604,0.0155,0.0625,2345,15340,31507
Lichtsteiner 2008,DVS,theta=0.10,0.1,,False,4,19.14,0.0691,0.1676,0.1667,0.0225,0.0611,2400,15464,31480
Lichtsteiner 2008,DVS,theta=0.10,0.1,,False,5,19.14,0.07,0.167,0.1592,0.0263,0.0649,2293,15326,31542
Lichtsteiner 2008,DVS,theta=0.10,0.1,,True,1,19.14,0.0826,0.2948,0.1494,-0.0274,0.0782,2834,31341,48300
Lichtsteiner 2008,DVS,theta=0.10,0.1,,True,2,19.14,0.0805,0.2881,0.1518,-0.0387,0.0814,2845,31007,48298
Lichtsteiner 2008,DVS,theta=0.10,0.1,,True,3,19.14,0.08,0.2875,0.1549,-0.0491,0.0746,2919,31069,48367
Lichtsteiner 2008,DVS,theta=0.10,0.1,,True,4,19.14,0.0801,0.2861,0.148,-0.045,0.0802,2829,30859,48251
Lichtsteiner 2008,DVS,theta=0.10,0.1,,True,5,19.14,0.0808,0.2868,0.1479,-0.041,0.0793,2805,31053,48353
Lichtsteiner 2008,DVS,theta=0.20,0.2,,False,1,19.14,0.0693,0.1674,0.1657,0.0213,0.0593,2387,15396,31412
Lichtsteiner 2008,DVS,theta=0.20,0.2,,False,2,19.14,0.0708,0.1709,0.1731,0.0225,0.0654,2305,15783,31549
Lichtsteiner 2008,DVS,theta=0.20,0.2,,False,3,19.14,0.0685,0.1657,0.1604,0.0155,0.0625,2345,15340,31507
Lichtsteiner 2008,DVS,theta=0.20,0.2,,False,4,19.14,0.0691,0.1676,0.1667,0.0225,0.0611,2400,15464,31480
Lichtsteiner 2008,DVS,theta=0.20,0.2,,False,5,19.14,0.07,0.167,0.1592,0.0263,0.0649,2293,15326,31542
Lichtsteiner 2008,DVS,theta=0.20,0.2,,True,1,19.14,0.0826,0.2948,0.1494,-0.0274,0.0782,2834,31341,48300
Lichtsteiner 2008,DVS,theta=0.20,0.2,,True,2,19.14,0.0805,0.2881,0.1518,-0.0387,0.0814,2845,31007,48298
Lichtsteiner 2008,DVS,theta=0.20,0.2,,True,3,19.14,0.08,0.2875,0.1549,-0.0491,0.0746,2919,31069,48367
Lichtsteiner 2008,DVS,theta=0.20,0.2,,True,4,19.14,0.0801,0.2861,0.148,-0.045,0.0802,2829,30859,48251
Lichtsteiner 2008,DVS,theta=0.20,0.2,,True,5,19.14,0.0808,0.2868,0.1479,-0.041,0.0793,2805,31053,48353
Lichtsteiner 2008,DVS,theta=0.40,0.4,,False,1,19.14,0.0693,0.1674,0.1657,0.0213,0.0593,2387,15396,31412
Lichtsteiner 2008,DVS,theta=0.40,0.4,,False,2,19.14,0.0708,0.1709,0.1731,0.0225,0.0654,2305,15783,31549
Lichtsteiner 2008,DVS,theta=0.40,0.4,,False,3,19.14,0.0685,0.1657,0.1604,0.0155,0.0625,2345,15340,31507
Lichtsteiner 2008,DVS,theta=0.40,0.4,,False,4,19.14,0.0691,0.1676,0.1667,0.0225,0.0611,2400,15464,31480
Lichtsteiner 2008,DVS,theta=0.40,0.4,,False,5,19.14,0.07,0.167,0.1592,0.0263,0.0649,2293,15326,31542
Lichtsteiner 2008,DVS,theta=0.40,0.4,,True,1,19.14,0.0826,0.2948,0.1494,-0.0274,0.0782,2834,31341,48300
Lichtsteiner 2008,DVS,theta=0.40,0.4,,True,2,19.14,0.0805,0.2881,0.1518,-0.0387,0.0814,2845,31007,48298
Lichtsteiner 2008,DVS,theta=0.40,0.4,,True,3,19.14,0.08,0.2875,0.1549,-0.0491,0.0746,2919,31069,48367
Lichtsteiner 2008,DVS,theta=0.40,0.4,,True,4,19.14,0.0801,0.2861,0.148,-0.045,0.0802,2829,30859,48251
Lichtsteiner 2008,DVS,theta=0.40,0.4,,True,5,19.14,0.0808,0.2868,0.1479,-0.041,0.0793,2805,31053,48353
Prophesee IMX636,DVS,theta=0.05,0.05,,False,1,32.0,0.0515,0.0821,0.1726,-0.0898,0.0226,1349,9220,31412
Prophesee IMX636,DVS,theta=0.05,0.05,,False,2,32.0,0.0514,0.0833,0.18,-0.0935,0.022,1310,9427,31549
Prophesee IMX636,DVS,theta=0.05,0.05,,False,3,32.0,0.0505,0.0811,0.1883,-0.0918,0.0197,1351,9201,31507
Prophesee IMX636,DVS,theta=0.05,0.05,,False,4,32.0,0.0511,0.0821,0.2167,-0.0926,0.0212,1305,9289,31480
Prophesee IMX636,DVS,theta=0.05,0.05,,False,5,32.0,0.0505,0.0811,0.2131,-0.0938,0.0203,1347,9209,31542
Prophesee IMX636,DVS,theta=0.05,0.05,,True,1,32.0,0.0669,0.177,0.1994,-0.2151,0.0446,1815,22911,48300
